,BUYER_STATE,BUYER_ZIP,BUYER_COUNTY,FIPS
2313,NC,27374,DAVIDSON,37057
2315,MI,49747,ALPENA,26007
2317,SC,29058,LANCASTER,45057
2319,MO,64034,JACKSON,29095
2322,SC,29726,YORK,45091
2323,CO,80908,EL PASO,8041
2326,NM,87529,TAOS,35055
2327,LA,71358,SAINT LANDRY,22097
2329,AK,99639,KENAI PENINSULA,2122
2330,AK,99663,KENAI PENINSULA,2122
2331,MS,39502,HARRISON,28047
2334,AZ,85237,PINAL,4021
2335,WV,25405,BERKELEY,54003
2338,NY,10162,NEW YORK,36061
2339,IL,61625,PEORIA,17143
2341,MD,20839,MONTGOMERY,24031
2343,NM,87417,SAN JUAN,35045
2344,MI,49639,OSCEOLA,26165
2346,IL,62312,PIKE,17149
2348,MI,49726,CHIPPEWA,26033
2349,TN,38028,SHELBY,47157
2351,MI,49234,JACKSON,26075
2353,NV,89060,NYE,32023
2354,HI,96863,HONOLULU,15003
2355,CA,95033,SANTA CRUZ,6087
2356,TX,78609,LLANO,48299
2357,VA,23314,ISLE OF WIGHT,51093
2359,NE,68113,SARPY,31153
2360,OK,73741,ALFALFA,40003
2361,AL,35773,MADISON,1089
2363,VA,20180,LOUDOUN,51107
2364,PA,16877,HUNTINGDON,42061
2367,CT,6525,NEW HAVEN,9009
2368,CT,6359,NEW LONDON,9015
2371,AZ,86503,APACHE,4001
2372,OR,97042,CLACKAMAS,41005
2375,PA,16249,ARMSTRONG,42005
2377,CA,93024,VENTURA,6111
2378,VA,23035,MATHEWS,51115
2379,NY,12511,DUTCHESS,36027
2381,FL,34460,CITRUS,12017
2382,NY,14026,ERIE,36029
2385,PA,15482,FAYETTE,42051
2389,AL,35619,MORGAN,1103
2390,WA,98333,PIERCE,53053
2391,NC,27574,PERSON,37145
2392,CA,92378,SAN BERNARDINO,6071
2393,NY,12491,ULSTER,36111
2394,OK,74604,KAY,40113
2397,KY,41826,LETCHER,21133
2399,TX,75608,GREGG,48183
2404,TX,76544,BELL,48099
2407,NM,88023,GRANT,35017
2408,IN,47334,DELAWARE,18065
2411,MI,48243,WAYNE,26163
2412,NC,27420,GUILFORD,37081
2416,FL,34681,PINELLAS,12103
2417,LA,70813,EAST BATON ROUGE,22033
2419,NY,13648,LEWIS,36089
2421,FL,33974,LEE,12071
2422,CA,93602,FRESNO,6019
2428,VA,23328,CHESAPEAKE CITY,51550
2431,PA,15450,FAYETTE,42051
2435,NY,12485,GREENE,36039
2437,CO,80223,DENVER,8031
2439,CA,95449,MENDOCINO,6045
2441,IL,61235,HENRY,17073
2445,CO,81143,SAGUACHE,8109
2446,PA,16059,BUTLER,42019
2449,OR,97703,DESCHUTES,41017
2452,WI,53569,GRANT,55043
2456,NC,28627,ALLEGHANY,37005
2457,ME,4284,KENNEBEC,23011
2460,VA,23667,HAMPTON CITY,51650
2462,NH,3061,HILLSBOROUGH,33011
2466,TX,76073,WISE,48497
2467,NJ,7711,MONMOUTH,34025
2469,AK,99752,NORTHWEST ARCTIC,2188
2470,VA,22720,FAUQUIER,51061
2471,KS,66402,SHAWNEE,20177
2473,OH,45168,BROWN,39015
2476,FL,32702,LAKE,12095
2482,MA,2764,BRISTOL,25005
2485,VA,24586,PITTSYLVANIA,51143
2486,VA,22834,ROCKINGHAM,51165
2488,MA,1523,WORCESTER,25027
2489,TN,37375,FRANKLIN,47051
2493,PA,18915,MONTGOMERY,42091
2495,MN,56563,CLAY,27027
2498,NE,68629,COLFAX,31167
